Year,Month,ShopName,Item,Quantity,Total,Wholesale,Profit
2022,October,Gampaha,4rever 5 min clean -up,1,Rs.  570.00,Rs.  456.75,Rs.  113.25
2022,October,Gampaha,4rever black head remove,10,"Rs.  1,360.00","Rs.  1,087.50",Rs.  272.50
2022,October,Gampaha,4rever body wash,1,Rs.  440.00,Rs.  471.25,-Rs.  31.25
2022,October,Gampaha,4rever day cream,1,Rs.  630.00,Rs.  525.00,Rs.  105.00
2022,October,Gampaha,4rever eye cream,1,Rs.  620.00,Rs.  493.00,Rs.  127.00
2022,October,Gampaha,4rever gold f/w (S),4,Rs.  800.00,Rs.  638.00,Rs.  162.00
2022,October,Gampaha,4rever hibiscus oil,1,Rs.  770.00,Rs.  637.50,Rs.  132.50
2022,October,Gampaha,4rever kohomba  kaha f/w (S),4,Rs.  655.00,Rs.  525.00,Rs.  130.00
2022,October,Gampaha,4rever kohomba kaha f/w (L),1,Rs.  330.00,Rs.  247.50,Rs.  82.50
2022,October,Gampaha,4rever kohomba kaha face pack,3,Rs.  900.00,Rs.  717.75,Rs.  182.25
2022,October,Gampaha,4rever kohomba kaha scrub,2,Rs.  635.00,Rs.  507.50,Rs.  127.50
2022,October,Gampaha,4rever nail remove,6,"Rs.  1,740.00","Rs.  1,392.00",Rs.  348.00
2022,October,Gampaha,4rever sun cream (L),1,Rs.  720.00,Rs.  585.00,Rs.  135.00
2022,October,Gampaha,4rever tea tree f/w (L),3,Rs.  960.00,Rs.  780.00,Rs.  180.00
2022,October,Gampaha,4rever tea tree f/w (S),1,Rs.  180.00,Rs.  141.30,Rs.  38.70
2022,October,Gampaha,4rever toner,13,"Rs.  3,455.00","Rs.  2,733.25",Rs.  721.75
2022,October,Gampaha,4rever venivel face wash (L),1,Rs.  330.00,Rs.  261.00,Rs.  69.00
2022,October,Gampaha,4rever vitamin E cream,1,Rs.  165.00,Rs.  135.00,Rs.  30.00
2022,October,Gampaha,ADS banana powder,1,Rs.  700.00,Rs.  600.00,Rs.  100.00
2022,October,Gampaha,affro comb steel-150,1,Rs.  130.00,Rs.  80.00,Rs.  50.00
2022,October,Gampaha,after shave cream -200,1,Rs.  170.00,Rs.  100.00,Rs.  70.00
2022,October,Gampaha,aichen beauty under arm cream,1,Rs.  700.00,Rs.  500.00,Rs.  200.00
2022,October,Gampaha,aichun beauty foot cream-600,1,Rs.  550.00,Rs.  390.00,Rs.  160.00
2022,October,Gampaha,Alo gel - 1000,2,"Rs.  2,000.00","Rs.  1,600.00",Rs.  400.00
2022,October,Gampaha,amins hena box,4,"Rs.  4,200.00","Rs.  3,600.00",Rs.  600.00
2022,October,Gampaha,amins hena loos,11,"Rs.  2,310.00","Rs.  1,760.00",Rs.  550.00
2022,October,Gampaha,Amla hair oil,1,Rs.  450.00,Rs.  350.00,Rs.  100.00
2022,October,Gampaha,amrin after shave (s),2,Rs.  320.00,Rs.  266.00,Rs.  54.00
2022,October,Gampaha,amrin aftershave (L),14,"Rs.  3,780.00","Rs.  3,430.00",Rs.  350.00
2022,October,Gampaha,amrin bay rum (S),4,Rs.  640.00,Rs.  532.00,Rs.  108.00
2022,October,Gampaha,amrin bayrum (L),3,"Rs.  1,070.00",Rs.  888.50,Rs.  181.50
2022,October,Gampaha,amrin godapora 2 in 1shampo,3,Rs.  945.00,Rs.  780.00,Rs.  165.00
2022,October,Gampaha,Amrin ice cool.l,7,"Rs.  1,890.00","Rs.  1,715.00",Rs.  175.00
2022,October,Gampaha,Amrin malti vitamin lotion,2,Rs.  800.00,Rs.  643.50,Rs.  156.50
2022,October,Gampaha,amrin nail remove,6,"Rs.  1,410.00",Rs.  753.00,Rs.  657.00
2022,October,Gampaha,Amrin shaving gel,5,"Rs.  2,840.00","Rs.  1,914.00",Rs.  926.00
2022,October,Gampaha,amrin uluhal (L),9,"Rs.  2,430.00","Rs.  2,205.00",Rs.  225.00
2022,October,Gampaha,andrea hair oil-500,3,"Rs.  1,600.00","Rs.  1,050.00",Rs.  550.00
2022,October,Gampaha,argan oil conditioner-1500,1,"Rs.  1,700.00","Rs.  1,450.00",Rs.  250.00
2022,October,Gampaha,argan oil shampo - 1500,2,"Rs.  3,400.00","Rs.  2,900.00",Rs.  500.00
2022,October,Gampaha,aroma mint cleanser .l,1,"Rs.  1,440.00","Rs.  1,280.00",Rs.  160.00
2022,October,Gampaha,aroma nee face wash .l,1,Rs.  965.00,Rs.  856.00,Rs.  109.00
2022,October,Gampaha,aroma scrub .s,2,"Rs.  1,900.00","Rs.  1,680.00",Rs.  220.00
2022,October,Gampaha,aroma turmeric cleanser .l,1,"Rs.  1,440.00","Rs.  1,280.00",Rs.  160.00
2022,October,Gampaha,aroma turmeric cleanser .s,1,Rs.  790.00,Rs.  656.25,Rs.  133.75
2022,October,Gampaha,aurica alovera face wash.l,1,Rs.  300.00,Rs.  262.00,Rs.  38.00
2022,October,Gampaha,Aurica fairness cream  (L),5,"Rs.  1,350.00","Rs.  1,181.25",Rs.  168.75
2022,October,Gampaha,Axe oil -3,7,"Rs.  1,750.00","Rs.  1,790.00",-Rs.  40.00
2022,October,Gampaha,Axe oil -5,10,"Rs.  4,000.00","Rs.  3,900.00",Rs.  100.00
2022,October,Gampaha,Back comb t&g,8,Rs.  960.00,Rs.  360.00,Rs.  600.00
2022,October,Gampaha,back comb-120,3,Rs.  300.00,Rs.  75.00,Rs.  225.00
2022,October,Gampaha,banjara face pack-450,4,"Rs.  2,200.00","Rs.  1,800.00",Rs.  400.00
2022,October,Gampaha,battery-40,8,Rs.  160.00,Rs.  66.40,Rs.  93.60
2022,October,Gampaha,Beauty Booster cream,1,Rs.  700.00,Rs.  600.00,Rs.  100.00
2022,October,Gampaha,Bellose 5 min cream 2.0,1,Rs.  380.00,Rs.  308.75,Rs.  71.25
2022,October,Gampaha,Bellose 5 minute  men 2,29,"Rs.  6,030.00","Rs.  4,641.00","Rs.  1,389.00"
2022,October,Gampaha,Bellose 5 minute colour women 1,61,"Rs.  17,080.00","Rs.  13,481.00","Rs.  3,599.00"
2022,October,Gampaha,Bellose 5mint cream 1.0,6,"Rs.  2,240.00","Rs.  1,852.50",Rs.  387.50
2022,October,Gampaha,Bellose ammonia free 2.0,6,"Rs.  5,160.00","Rs.  4,173.00",Rs.  987.00
2022,October,Gampaha,Bellose ammonia free pack 2.0,1,Rs.  920.00,Rs.  747.50,Rs.  172.50
2022,October,Gampaha,bellose bayrum,26,"Rs.  9,100.00","Rs.  7,267.00","Rs.  1,833.00"
2022,October,Gampaha,Bellose black 1.0,7,"Rs.  4,480.00","Rs.  3,640.00",Rs.  840.00
2022,October,Gampaha,Bellose black 2.0,12,"Rs.  9,600.00","Rs.  7,800.00","Rs.  1,800.00"
2022,October,Gampaha,Bellose black 3.0,3,"Rs.  2,400.00","Rs.  1,950.00",Rs.  450.00
2022,October,Gampaha,Bellose bleaching cream,1,Rs.  620.00,Rs.  500.50,Rs.  119.50
2022,October,Gampaha,Bellose bleaching powder,19,"Rs.  7,600.00","Rs.  6,051.50","Rs.  1,548.50"
2022,October,Gampaha,Bellose color shampoo,4,"Rs.  2,560.00","Rs.  2,054.00",Rs.  506.00
2022,October,Gampaha,Bellose colour pack 1,1,Rs.  750.00,Rs.  650.00,Rs.  100.00
2022,October,Gampaha,bellose conditioner 1l,4,"Rs.  4,320.00","Rs.  3,484.00",Rs.  836.00
2022,October,Gampaha,bellose developer - 6%,15,"Rs.  5,550.00","Rs.  4,485.00","Rs.  1,065.00"
2022,October,Gampaha,bellose developer -12%,12,"Rs.  4,310.00","Rs.  3,588.00",Rs.  722.00
2022,October,Gampaha,bellose developer 1l 12%,2,"Rs.  2,560.00","Rs.  2,080.00",Rs.  480.00
2022,October,Gampaha,bellose developer 1l 6%,2,"Rs.  2,560.00","Rs.  2,080.00",Rs.  480.00
2022,October,Gampaha,bellose developer 500ml 12%,3,"Rs.  2,160.00","Rs.  1,755.00",Rs.  405.00
2022,October,Gampaha,bellose developer 500ml 6%,6,"Rs.  4,320.00","Rs.  3,510.00",Rs.  810.00
2022,October,Gampaha,Bellose extreme repair conditioner,4,"Rs.  1,780.00","Rs.  1,456.00",Rs.  324.00
2022,October,Gampaha,Bellose fashion colour - 1100,1,Rs.  880.00,Rs.  715.00,Rs.  165.00
2022,October,Gampaha,Bellose fastion colour - 1350,14,"Rs.  15,120.00","Rs.  12,285.00","Rs.  2,835.00"
2022,October,Gampaha,Bellose fastion colour - 1450,40,"Rs.  8,400.00","Rs.  6,760.00","Rs.  1,640.00"
2022,October,Gampaha,bellose hair mask,2,"Rs.  1,520.00","Rs.  1,235.00",Rs.  285.00
2022,October,Gampaha,Bellose intense repair shampoo,6,"Rs.  2,380.00","Rs.  1,690.00",Rs.  690.00
2022,October,Gampaha,Bellose keratin shampoo,11,"Rs.  5,170.00","Rs.  4,147.00","Rs.  1,023.00"
2022,October,Gampaha,bellose leave -on conditioner (M),4,"Rs.  1,760.00","Rs.  1,059.50",Rs.  700.50
2022,October,Gampaha,bellose leave -on conditioner (S),2,Rs.  420.00,Rs.  273.00,Rs.  147.00
2022,October,Gampaha,Bellose neutralizing cream,16,"Rs.  14,720.00","Rs.  11,856.00","Rs.  2,864.00"
2022,October,Gampaha,Bellose nutri protect conditioner,13,"Rs.  8,320.00","Rs.  6,675.50","Rs.  1,644.50"
2022,October,Gampaha,bellose shampo 1l,8,"Rs.  8,640.00","Rs.  6,968.00","Rs.  1,672.00"
2022,October,Gampaha,bellose shampo 500ml,1,Rs.  710.00,Rs.  357.50,Rs.  352.50
2022,October,Gampaha,Bellose silicone (L),4,"Rs.  3,200.00","Rs.  2,574.00",Rs.  626.00
2022,October,Gampaha,bellose silicone (M),6,"Rs.  2,840.00","Rs.  2,262.00",Rs.  578.00
2022,October,Gampaha,bellose silicone (S),12,"Rs.  3,480.00","Rs.  2,808.00",Rs.  672.00
2022,October,Gampaha,Bellose smooth conditioner,10,"Rs.  3,100.00","Rs.  2,470.00",Rs.  630.00
2022,October,Gampaha,bellose straight 2 pack,36,"Rs.  48,960.00","Rs.  39,780.00","Rs.  9,180.00"
2022,October,Gampaha,bellose straight cream,9,"Rs.  8,280.00","Rs.  6,727.50","Rs.  1,552.50"
2022,October,Gampaha,Bellose straight shampoo,12,"Rs.  7,680.00","Rs.  6,162.00","Rs.  1,518.00"
2022,October,Gampaha,Bellose straightener cream (L),11,"Rs.  22,880.00","Rs.  18,447.00","Rs.  4,433.00"
2022,October,Gampaha,Bellose super conditioner,10,"Rs.  4,240.00","Rs.  3,246.75",Rs.  993.25
2022,October,Gampaha,bio cose body lotion,1,Rs.  450.00,Rs.  300.00,Rs.  150.00
2022,October,Gampaha,Bio glow body lotion,6,"Rs.  9,000.00","Rs.  7,200.00","Rs.  1,800.00"
2022,October,Gampaha,biocos cream,18,"Rs.  16,200.00","Rs.  13,500.00","Rs.  2,700.00"
2022,October,Gampaha,biocos serum,21,"Rs.  7,350.00","Rs.  3,570.00","Rs.  3,780.00"
2022,October,Gampaha,biocose face wash,1,Rs.  400.00,Rs.  200.00,Rs.  200.00
2022,October,Gampaha,Bird sponch-200,2,Rs.  400.00,Rs.  250.00,Rs.  150.00
2022,October,Gampaha,black mask - 800,2,"Rs.  1,600.00","Rs.  1,200.00",Rs.  400.00
2022,October,Gampaha,Black night shaving foam,5,"Rs.  3,750.00","Rs.  2,750.00","Rs.  1,000.00"
2022,October,Gampaha,blusher - 200,1,Rs.  200.00,Rs.  150.00,Rs.  50.00
2022,October,Gampaha,body lotion serum-450,10,"Rs.  4,500.00","Rs.  2,300.00","Rs.  2,200.00"
2022,October,Gampaha,bon bon spidle rod-250,4,"Rs.  1,000.00",Rs.  840.00,Rs.  160.00
2022,October,Gampaha,borjuwa lipstick pen - 150,10,"Rs.  1,800.00","Rs.  1,600.00",Rs.  200.00
2022,October,Gampaha,Buffer - 120,2,Rs.  240.00,Rs.  200.00,Rs.  40.00
2022,October,Gampaha,candela soap,1,Rs.  250.00,Rs.  200.00,Rs.  50.00
2022,October,Gampaha,carotone body lotion - (S),1,"Rs.  3,200.00","Rs.  2,600.00",Rs.  600.00
2022,October,Gampaha,Carotone serum,1,"Rs.  1,500.00","Rs.  1,300.00",Rs.  200.00
2022,October,Gampaha,Ccuk compact powder,2,"Rs.  1,200.00","Rs.  1,048.50",Rs.  151.50
2022,October,Gampaha,cesser - 1200,1,"Rs.  1,200.00","Rs.  1,000.00",Rs.  200.00
2022,October,Gampaha,cesser - 1600,1,"Rs.  1,600.00","Rs.  1,500.00",Rs.  100.00
2022,October,Gampaha,cesser-1000,3,"Rs.  3,300.00","Rs.  2,325.00",Rs.  975.00
2022,October,Gampaha,Cleaning sponch - 10,134,"Rs.  1,340.00",Rs.  938.00,Rs.  402.00
2022,October,Gampaha,coloer crap lether-600,1,Rs.  600.00,Rs.  500.00,Rs.  100.00
2022,October,Gampaha,colour cap lether-600,4,"Rs.  2,400.00","Rs.  1,200.00","Rs.  1,200.00"
2022,October,Gampaha,comb with handle t&g,4,Rs.  440.00,Rs.  180.00,Rs.  260.00
2022,October,Gampaha,concealer mac-400,1,Rs.  400.00,Rs.  300.00,Rs.  100.00
2022,October,Gampaha,cotton -420,11,"Rs.  6,930.00","Rs.  6,050.00",Rs.  880.00
2022,October,Gampaha,cotton ball-380,2,Rs.  500.00,Rs.  360.00,Rs.  140.00
2022,October,Gampaha,cotton-60,3,Rs.  90.00,Rs.  60.00,Rs.  30.00
2022,October,Gampaha,Crape - 240,1,Rs.  320.00,Rs.  200.00,Rs.  120.00
2022,October,Gampaha,Crape - 400,9,"Rs.  3,150.00","Rs.  2,520.00",Rs.  630.00
2022,October,Gampaha,crocodle bun (L)-380,2,Rs.  400.00,Rs.  200.00,Rs.  200.00
2022,October,Gampaha,crocodle bun (S),1,Rs.  150.00,Rs.  100.00,Rs.  50.00
2022,October,Gampaha,Cutting comb t&g,12,"Rs.  1,440.00",Rs.  540.00,Rs.  900.00
2022,October,Gampaha,darma + beauty cream,1,Rs.  900.00,Rs.  750.00,Rs.  150.00
2022,October,Gampaha,delco shaving razer,4,"Rs.  2,600.00","Rs.  1,260.00","Rs.  1,340.00"
2022,October,Gampaha,dexe hair building fiber,2,"Rs.  2,800.00","Rs.  2,400.00",Rs.  400.00
2022,October,Gampaha,Dexe Hair Shampoo,3,Rs.  180.00,Rs.  150.00,Rs.  30.00
2022,October,Gampaha,Dissar hair blam,1,Rs.  350.00,Rs.  300.00,Rs.  50.00
2022,October,Gampaha,Diy brush - 140,6,Rs.  480.00,Rs.  420.00,Rs.  60.00
2022,October,Gampaha,Diy brush with comb,5,Rs.  700.00,Rs.  600.00,Rs.  100.00
2022,October,Gampaha,diy brush-180,5,Rs.  350.00,Rs.  300.00,Rs.  50.00
2022,October,Gampaha,Do Do girl eye shadow-850,1,Rs.  500.00,Rs.  400.00,Rs.  100.00
2022,October,Gampaha,Donut bun (L) - 200,3,Rs.  540.00,Rs.  450.00,Rs.  90.00
2022,October,Gampaha,Donut bun (M) - 150,2,Rs.  300.00,Rs.  240.00,Rs.  60.00
2022,October,Gampaha,Donut bun -120,2,Rs.  200.00,Rs.  80.00,Rs.  120.00
